EREQ_CODE,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_PARENT_LEVEL,EREQ_DESCRIPTION
B7284T0026-GRPROD-TG,3.0,B7284T0026-GRPROD,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7284T0027-ARMELE-AU,3.0,B7284T0027-ARMELE,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7105T0122,1.0,,,CUVE ACIDE CITRIQUE
B7274T0001-ALRUCA-AR,3.0,B7274T0001-ALRUCA,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B6001T0002,1.0,,,PRESSE INJECTION PREFORMES N°8 G-LINE 300
B3623R8001,2.0,B6225T0001-S011,1.0,GROUPE MOTOPOMPE VINAIGRE
B7272T0017-ENTPRO-CD,3.0,B7272T0017-ENTPRO,2.0,FARDELEUSE L3
B7272T0027-S048,3.0,B7272T0027-S002,2.0,FARDELEUSE VARIOPAC PRO
B7274T0001-ARMELE-CE,3.0,B7274T0001-ARMELE,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B4600R2000-A078,2.0,B3669T0002,1.0,COMPRESSEUR D'AIR PROCESS P920B
B7214T0013-S005,2.0,B7214T0013,1.0,SOUFFLEUSE
B7217T0002-S281,3.0,B7217T0002-S002,2.0,SOUTIREUSE
B7254T0174,1.0,,,DATEUR INDUSTRIEL A JET D ENCRE AX350I
B7284T0026-MAGPAL,2.0,B7284T0026,1.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B8602T0011-J01,2.0,B8602T0011,1.0,CHAUDIERE BABCOCK N°01
B8602T0012-J01,2.0,B8602T0012,1.0,CHAUDIERE BABCOCK N°02
B3972E5099-J13,2.0,B3972E5099-J01,1.0,POSTE MT-BT1
B3970T0296,2.0,B6225T0001-S031,1.0,CLIMATISATION ARMOIRES
B7258T0006,1.0,,,CONTRÔLE ETIQUETTE 944/L FT SYSTEM
B7272T0016-CIRPNE,2.0,B7272T0016,1.0,FARDELEUSE TSM 4 SDI CERMEX-OC
B8657T0038-S004,1.0,,,CENTRALE DE TRAITEMENT D'AIR N°2(SDA)
BEC-ADM-R2_ETAG2_FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION 2E ETAGE R+2
B7252T0029-STSUPE-CR,3.0,B7252T0029-STSUPE,2.0,ETIQUETEUSE OPERA 300 SACMI
B7286T0019-SECBAN,2.0,B7286T0019,1.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L1
B3972E5099-J02,1.0,,,POSTE MT 2
B7214T0008-RS-PS-19,4.0,B7214T0008-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0010-RS-PS-14,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7224T8004,1.0,,,APPAREIL DOSAGE VELCORIN(SDA)
B8638T8002,1.0,,,CHILLER GREENBOX N°02
B7214T0008-RS-PS-12,4.0,B7214T0008-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0013-S166,3.0,B7214T0013-S004,2.0,SOUFFLEUSE
B7214T0013-S172,3.0,B7214T0013-S005,2.0,SOUFFLEUSE
B7272T0028-S163,3.0,B7272T0028-S005,2.0,FARDELEUSE VARIOPAC PRO
B7217T0002-S313,3.0,B7217T0002-S004,2.0,SOUTIREUSE
B6001T0017-UNIROB,2.0,B6001T0017,1.0,PRESSE D'INJECTION PREFORMES 03 HYPET 400
BCH10-CONGAR-01,2.0,B7759T0009,1.0,CONVOYEURS MECANIQUES  ( GEBO )
B7214T0013-S003,2.0,B7214T0013,1.0,SOUFFLEUSE
B3623B8003-S001,2.0,B6225T0001-S021,1.0,GROUPE POMPE CIP
B7214T0008-TRANSM-TR,3.0,B7214T0008-TRANSM,2.0,SOUFFLEUSE SBO 20 SIDEL
B7272T0028-S175,3.0,B7272T0028-S006,2.0,FARDELEUSE VARIOPAC PRO
B3623R0600,1.0,,,GROUPE ELECTROPOMPE VOLUMETRIQUE P691B
B8638T0009,3.0,B4600R2000-A070,2.0,CLIMATISEUR TGBT CIAT 5000 CLIMC5A
B3970T0303,1.0,,,ARMOIRES ELECTRIQUES CONVOYEURS BOUTEILLE
B6225T0001-S094,2.0,B6225T0001-S001,1.0,CUVERIE EXTERIEUR
B7272T0028-S132,3.0,B7272T0028-S002,2.0,FARDELEUSE VARIOPAC PRO
B7274T0002-ENTRAI-EB,3.0,B7274T0002-ENTRAI,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
BMA-BAT-CHAUDR,1.0,,,CHAUDRONNERIES_BATIMENT-MARGARINERIE
B3624R0500-HS002,1.0,,,Moteur diesel CUMMINS VGA 28 G5
B6001T0001,1.0,,,PRESSE D'INJECTION PREFORMES 7 G-LINE 300
B7103T0206,1.0,,,BAC  A EAU CHAUDE  T45216
B7214T0008-RS-PS-18,4.0,B7214T0008-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0010-ALPREF-RP,3.0,B7214T0010-ALPREF,2.0,SOUFFLEUSE SBO 20 SIDEL
B6225T0001-S309,2.0,B6225T0001-S003,1.0,CUVES TAMPON
B7216T0012-BOUCHE-CB,3.0,B7216T0012-BOUCHEUSE,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B7216T0012-TRANSF-EE,3.0,B7216T0012-TRANSF,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B7216T0012-ALBOUC,3.0,B7216T0012-BOUCHEUSE,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B7761T0014,1.0,,,TRANSPORTEUR A VIS VR04
B7284T0031-001,2.0,B7284T0031,1.0,PALETTISEUR
B8607T0014,1.0,,,SKID EAU FROIDE (MITIGE)
B8657T0038-S001,1.0,,,ARMOIRE ELCTRIQUE CENTRALE DE CLIMATISATION
B6001T0013,2.0,B6010T0013,1.0,PRESSE PI13
B7216T0011-TRANSF-EE,3.0,B7216T0011-TRANSF,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B3616R0402,1.0,,,POMPE D ASPIRATION N°02
B6047D0001,1.0,,,Moule 24Gr
B6225T0001-S316,3.0,B6225T0001-S309,2.0,CUVES TAMPON
B7190R0001-100,2.0,B7190T0001,1.0,QUAI 01
B7214T0008-RS-PS-13,4.0,B7214T0008-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7216T0012-ALBOUC-RA,4.0,B7216T0012-ALBOUC,3.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B3669T0023,1.0,,,COMPRESSEUR 7 BAR N°2
B7252T0033-J01,1.0,,,SYSTEME DETECTION BARQUETTE INCOMPLETTE
B3677R0214,1.0,,,SECHEUR PAR REFRIGERATION
B7216T0011-REMPLI-CA,3.0,B7216T0011-REMPLI,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B8657T0038-S003,1.0,,,CENTRALE DE TRAITEMENT D'AIR N°1(SDA)
BEC-ADM-REFEC_FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION REFECTOIRE
UPL-B6005D-001,1.0,SYS-IP,1.0,Système Injection  Palette
B7252T0021-ARMELE-CE,3.0,B7252T0021-ARMELE,2.0,ETIQUETEUSE OPERA 300 SACMI
B7274T0002-ENTRAI-EP,3.0,B7274T0002-ENTRAI,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B8602T0014-J02,2.0,B8602T0014,1.0,BACHE A EAU BABCOCK
B7214T0007-CIRPNE,2.0,B7214T0007,1.0,SOUFFLEUSE SBO 20 SIDEL
B8636T0040-CONDUI,2.0,B8636T0040,1.0,Tour de refroidissement BALTMORE AIRCOIL
B7214T0007-RS-PS,3.0,B7214T0007-RS,2.0,SOUFFLEUSE SBO 20 SIDEL
B3624R0202-ARM,2.0,B3624R0202,1.0,RESEAU ANTI INCENDIE
B6315T8002,2.0,B7228T0076,1.0,LIGNE DE PREPARATION JUS
B7254T0103,1.0,,,DATEUR LASER D320I
B7759T0021,1.0,,,CONVOYEUR MECANIQUE  GEBO
B3602T8004,2.0,B3602R5006-J02,1.0,GROUPE ELECTROPOMPE
B7286T0002,1.0,,,BANDEROLEUSE ATLANTA
B7290T8001-J34,3.0,B7290T8001-J03,2.0,HOUSSEUSE COMBI PAL 2000
,,,,Ensemble Réseau Anti Incident
B6001T0005,1.0,,,PRESSE D'INJECTION PREFORMES 05 HYPET 400
B7284T0027-ENTPRO,2.0,B7284T0027,1.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B8634T0001,1.0,,,REFROIDISSEUR TRANE  (MOULE B / P)
B7272T0016-TRFILM-PB,3.0,B7272T0016-TRFILM,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
B7216T0012-ARMELE-CE,3.0,B7216T0012-ARMELE,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B8657T0029-A0001,1.0,,,CLIMATISEUR TGBT CIAT 28000W CLIMC28A
B8638T0058,1.0,,,Groupe de production eau glacée FLASH-PASTO
BCH10-TRANPR-01,2.0,B7215T0004,1.0,MACHINE D INJECTION-SOUFFLAGE PF 24-8 B / N°S 389CC0044
B8278T0203,1.0,,,TOURNIQUET MOTORISE PLEIN HAUTEUR DOUBLE N°2 PASSAGE POSTE 01
B8636T0039-PMPREF,2.0,B8636T0039,1.0,Tour de refroidissement BALTMORE AIRCOIL
B4742A1850-K004,2.0,B8638T0039,1.0,Refroidisseurs CTA 2/2 TRANE-FIORINI
B7272T0017-TRFILM,2.0,B7272T0017,1.0,FARDELEUSE L3
B8657T0029-FILAIR,2.0,B8657T0029,1.0,Climatisation CTA 1/2
B9019U0002-HS001,2.0,BHS_ENS_RAI,1.0,Ensemble Réseau Anti Incident
B6001T0004,1.0,,,PRESSE D'INJECTION PREFORMES 06 HYPET 400
B6559T0021,1.0,,,Evaporateur CO2
B3601R0208-07,2.0,B7103T0025,1.0,BAC D'ACIDE PHOSPHORIQUE-  B20T23
B7214T0007-ARMELE-CE,3.0,B7214T0007-ARMELE,2.0,SOUFFLEUSE SBO 20 SIDEL
B8636T0039,1.0,,,Tour de refroidissement BALTMORE AIRCOIL
BCH05-BACOLE-05,2.0,B7252T0006,1.0,ETIQUETTEUSE SACMI 5LA OPERA 200 RF 9T/ N°M0074708
B3652T0011,1.0,,,CLIMATISEUR MCC CIAT 12000 CLIMC12C
B7252T0025-ZSOPRO,2.0,B7252T0025,1.0,ETIQUETEUSE AUTOCOL KRONES
B9720T2000,1.0,,,CHAUDRONNERIE RAFFINERIE 3000T
B6001T0005-UNIROB,2.0,B6001T0005,1.0,PRESSE D'INJECTION PREFORMES 05 HYPET 400
B7250T0003,1.0,,,SECHEUR DE BOUTEILLES KRONES
B7274T0001-ENTRAI,2.0,B7274T0001,1.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B7264T0002-S002,2.0,B7264T0002,1.0,ALIMENTATEUR BOUCHON E18.3148
B7216T0011-BOUCHE-BU,3.0,B7216T0011-BOUCHEUSE,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B7272T0027-S005,2.0,B7272T0027,1.0,FARDELEUSE VARIOPAC PRO
B7752T0019,1.0,,,TRANSPORTEUR A BANDE         TB18
B8638T0029,1.0,,,GROUPE FROID YORK A741E
BCH06-ARMELE-02,2.0,BCH06-COMPRE-02,2.0,CENTRALE DE PRODUCTION D'AIR COMPRIMEE N°02 ZD3030
B7286T0019-PCS,2.0,B7286T0019,1.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L1
B7290T0003-EQSOMA-TE,3.0,B7290T0003-EQSOMA,2.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L1
B8602T0014,1.0,,,BACHE A EAU BABCOCK
B7214T0013-S141,3.0,B7214T0013-S004,2.0,SOUFFLEUSE
B7290T0003-EQSOMA-CP,3.0,B7290T0003-EQSOMA,2.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L1
BEC-ALLEES-PG4-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE POSTE DE GARDIENNAGE 4
BEC-MAG-CG-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE MAGASIN CORPS GRAS
B6538T0006,1.0,,,PREFILTRATION WT
B6210T8001,1.0,,,RAFFINEUSE COMPLETE 60T
B7252T0034-S005,2.0,B7252T0034,1.0,ETIQUETEUSE
BCH11-PARTFIX-08,2.0,B6046D0200,1.0,MOULE POIGNEE COL 48  32 EMPREINTES A UN ETAGE
B6330T0009,1.0,,,CRISTALLISEUR -   09-211-505
B7214T0007-ALPREF-TE,3.0,B7214T0007-ALPREF,2.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0007-ALPREF,2.0,B7214T0007,1.0,SOUFFLEUSE SBO 20 SIDEL
B7732T0001,1.0,,,GRUES GOTTWALD  N° 1
BCH11-SECSEC-03,3.0,BCH11-UNALSE-03,2.0,PRESSE INJECTION PREFORMES N°9 G-LINE 300
B6005T0001,1.0,,,PRESSE INJECTION POIGNEE N° 5
BCH11-UNIJECT-13,2.0,B6010T0013,1.0,PRESSE PI13
BRH-24P5,2.0,B7103T0056,1.0,BAC EAUX ACIDES-   24T5
B7260T8006,2.0,B7228T0076,1.0,LIGNE DE PREPARATION JUS
BEC-ADM-R3_ETAG3_FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION 3E ETAGE R+3
B7284T0026-CIRPNE,2.0,B7284T0026,1.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7284T0027-PALPRO-ET,3.0,B7284T0027-PALPRO,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
BEC-ADM-R2_ETAG1_FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION 1ER ETAGE R+2
LLK-AC-1850C,1.0,,,Compresseur 40 bars TEMPO 1850 C
B4313R1048-A001,2.0,B3623T1000,1.0,GROUPE ELECTROPOMPE POMPE A GAZ P250AE
B7284T0029-GRPROD-TG,3.0,B7284T0029-GRPROD,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7214T0008-TRANSM,2.0,B7214T0008,1.0,SOUFFLEUSE SBO 20 SIDEL
B7105T0117,2.0,B6225T0001-S020,1.0,CUVE NEP 5X4000L(SDA)
B7214T0010-TRANSF,2.0,B7214T0010,1.0,SOUFFLEUSE SBO 20 SIDEL
B7216T0011-TRANSF-ES,3.0,B7216T0011-TRANSF,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B3669T0030,1.0,,,"COMPRESSEUR 40 BARS A VIS EXEMPT D HUILE ""ZDXTEND315/160 VSD"""
B7258T0001-POSTCO,2.0,B7258T0001,1.0,CONTRÔLE BOUCHON / NIVEAU HEUFT Basic V3.4
BEC-ADM-REFEC_ELEC,1.0,,,INSTALLATIONS ELECTRIQUE REFECTOIRE
B3677R0005,1.0,,,SECHEUR LEGUMES SECS (FD750)
B7214T0008-ALPREF,2.0,B7214T0008,1.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0010-RS-PS-04,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0007-TRANSF-TB,3.0,B7214T0007-TRANSF,2.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0010-RS-PS-10,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0010-FOURIR-RE,3.0,B7214T0010-FOURIR,2.0,SOUFFLEUSE SBO 20 SIDEL
B7272T0027-S061,3.0,B7272T0027-S004,2.0,FARDELEUSE VARIOPAC PRO
B8602T0009,1.0,,,CHAUDIERE LOOS N°04
V12-616A2,3.0,B6522R9999-22,2.0,FILTRE NIAGARA-  616A2
B7284T0029-GRPROD,2.0,B7284T0029,1.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
BEC-ECL EXT,1.0,,,ECLAIRAGE EXTERIEUR
B6235T8001-J49,3.0,B6235T8001-J07,2.0,MIXER MAS MIX 60/60
B7228T0052-C215,3.0,B7228T0052-C104,2.0,LIGNE SUCRE MORCEAU 1
 BCH09-SYDESN-01,2.0,B9305T0005,1.0,BATIMENTS
BEC-CHANTIER,1.0,,,CHANTIER
B7217T0002-S002,2.0,B7217T0002,1.0,SOUTIREUSE
B7290T0003-EQSOMA-CR,3.0,B7290T0003-EQSOMA,2.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L1
B6225T0001-S002,1.0,,,CUVES MATURATION
B7252T0029-TRANSM-EE,3.0,B7252T0029-TRANSM,2.0,ETIQUETEUSE OPERA 300 SACMI
B7284T0029-GRPROD-PO,3.0,B7284T0029-GRPROD,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7252T0021-STSUPE-TM,3.0,B7252T0021-STSUPE,2.0,ETIQUETEUSE OPERA 300 SACMI
LLK-AC-2350B,1.0,,,Compresseur 40 bars TEMPO 2350 B
B7759T0020-PACKS,2.0,B7759T0020,1.0,CONVOYEUR MECANIQUE  GEBO
LLK-AC-1850E-ARMELE,2.0,LLK-AC-1850E,1.0,Compresseur 40 bars TEMPO 1850 E Cojek
B7272T0016-ARMELE-CE,3.0,B7272T0016-ARMELE,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
B6225T0001-S313,1.0,,,SYSTEME DETECTION AZOTE
B7214T0010-TRANSF-TB,3.0,B7214T0010-TRANSF,2.0,SOUFFLEUSE SBO 20 SIDEL
B7290T0004-EQSOMA-TE,3.0,B7290T0004-EQSOMA,2.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L2
B8780R0041,1.0,,,UNITE DE FLOTTATION A AIR DISSOUS DAF INFILCO
B7274T0001-APLPOI,2.0,B7274T0001,1.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B6524T3000-B001,1.0,,,FILTRE A POCHE S566N-SDA 
B8636T8004,1.0,,,TOUR DE REFROIDISSEMENT RB
BEC-ADM-DMC-ETG1-ELC,1.0,,,INSTALLATIONS ELECTRIQUE ETAGE 1 CMS ET ARCHIVES
DMC-COMMUN,1.0,,,COMMUN
B7272T0016-ENTPRO-CD,3.0,B7272T0016-ENTPRO,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
B3970T0244-ARMELE,2.0,B3970T0244,1.0,Armoire de Gestion Compresseurs 40 Bars
B8657T0051,1.0,,,CENTRALE DE TRAITEMENT D'AIR NOUVELLE SIROPERIE(SDA)
LLK-AC-RLRA,1.0,,,Compresseur 7 bar RLR 150 AIR WORTHINGTON A
B6335T0001,1.0,,,BAC DE REFONTE M160
B8278T0201,1.0,,,TOURNIQUET MOTORISE PLEIN HAUTEUR SIMPLE PASSAGE POSTE 05
B9304T0001,1.0,,,BASE VIE
B3971T0037-COMPEL,2.0,B3971T0037,1.0,Armoire Batterie Condensateur 02
B3971T0038-COMPEL,2.0,B3971T0038,1.0,Armoire Batterie Condensateur 03
BEC-SALEBHAR-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE DEPOT SIDI ALI ELBHAR
B7214T0010-RS-PS-03,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B6518T0002,1.0,,,RAFFINEUSE(SDA)
,,,,PRESSE D'INJECTION PREFORMES 04 HYPET 400
B7214T0007-RS-PS-13,4.0,B7214T0007-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7274T0001-APLPOI-DA,3.0,B7274T0001-APLPOI,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B7284T0006,1.0,,,PALETTISEUR CERMEX P421  N°30751
BMA22-ONDULE-01,2.0,B3970T0002,1.0,MCC
B9720T3000-B001,1.0,,,CHAUDRONNERIE RAFFINERIE 3500T
B7217T0002-S309,3.0,B7217T0002-S004,2.0,SOUTIREUSE
B7272T0015-FOURFA-CC,3.0,B7272T0015-FOURFA,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
BCH05-CONMEC-07,2.0,B7286T0009,1.0,BANDEROLEUSE ROBOPAC HS40 N° 309050087
B8657T0026-BLS,1.0,,,ARMOIRE CLIMATISATION CIAT DX 30
B7103T0332,2.0,B8713T8001-J08,1.0,RESERVOIRS DE DOSAGE PRODUITS CHIMIQUES
LLK-AC-2350A-ENTRAI,2.0,LLK-AC-2350A,1.0,Compresseur 40 bars TEMPO 2350 A
B4600R3000-B047,2.0,B6510R0001-B003,1.0,TURBINE CONTINUE S855N
B6514M0184-R002,2.0,B6514T0031,1.0,CENTRIFUGEUSE DISCONTINUE MCR2 1S017
B7105T0124,1.0,,,CUVE FORMULATION N°01
B7214T0007-RS-PS-12,4.0,B7214T0007-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7252T0021-ARMELE-CL,3.0,B7252T0021-ARMELE,2.0,ETIQUETEUSE OPERA 300 SACMI
BEC-ADM-ETAG1_ELEC,1.0,,,INSTALLATIONS ELECTRIQUE 1ER ETAGE R+3
BEC-ADM-R1-ETAG1_ELC,1.0,,,INSTALLATIONS ELECTRIQUE 1ER ETAGE R+1
LLK-AC-1850D-ARMELE,2.0,LLK-AC-1850D,1.0,Compresseur 40 bars TEMPO 1850 D
,,,,ETIQUETEUSE OPERA 300 SACMI
B7286T0001-S004,2.0,B7286T0024,1.0,BANDEROLEUSE ATLANTA
B7217T0002-S317,3.0,B7217T0002-S004,2.0,SOUTIREUSE
B3970T0129,2.0,BLS-MCC,1.0,MCC
B7252T0022-ARMELE-CE,3.0,B7252T0022-ARMELE,2.0,ETIQUETEUSE OPERA 300 SACMI
B7272T0017-CIRGRA-GT,3.0,B7272T0017-CIRGRA,2.0,FARDELEUSE L3
B7759T0019-STALUB,2.0,B7759T0019,1.0,CONVOYEUR MECANIQUE  GEBO
B7759T0020-STALUB,2.0,B7759T0020,1.0,CONVOYEUR MECANIQUE  GEBO
B7252T0021-REGLAG-GE,3.0,B7252T0021-REGLAG,2.0,ETIQUETEUSE OPERA 300 SACMI
