EREQ_CODE,EREQ_LEVEL,EREQ_PARENT_EQUIPMENT,EREQ_PARENT_LEVEL,EREQ_DESCRIPTION
B4742A1150-K002,2.0,B7252T0022,1.0,ETIQUETEUSE OPERA 300 SACMI
B7790T0038,1.0,,,RAMPE DE CHARGEMENT N°02
B7214T0010-RS-PS-20,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B7790T0037,1.0,,,RAMPE DE CHARGEMENT  N°01
B7790T0039,1.0,,,RAMPE DE CHARGEMENT N°03
BLS-LIGNE PRELAVAGE2,1.0,,,LIGNE PRELAVAGE2
B7252T0022-GRETIQ-EF,3.0,B7252T0022-GRETIQ,2.0,ETIQUETEUSE OPERA 300 SACMI
B7258T0012,1.0,,,CHECKMAT SORTIE ETIQUETEUSE
B7723T0004-SUL,2.0,B7723T0004,1.0,DRG450-60S5
CEV-AGRO-ALIM,1.0,,,RESEAU ANTI-INCENDIE CEVITAL AGRO-ALIMENTAIRE
B3970T0192,1.0,,,ARMOIRE CONTRÔLE TURBINE 1
B6220T0001-S020,3.0,B6220T0001-S008,2.0,VMC  A(SDA)
B9305T0001-PORSAS,1.0,,,PORTES SAS MATIERES 
B6533T0004,1.0,,,FILTRE PRESS S370
B8009T0003,1.0,,,PONT BASCULE WAGON
B4600R2000-A038,2.0,B6566T0003,1.0,CUITE R2 A622
B7216T0012-ARMELE-AU,3.0,B7216T0012-ARMELE,2.0,REMPLISSEUSE Combi SF SELECT GL 90/15C SIDEL FILLING/BOUCHEUSE TOURELLE  T15 / 540 ZALKIN
B7272T0015-FOURFA,2.0,B7272T0015,1.0,FARDELEUSE TSM 4 SDI CERMEX-OC
BCH05-CONMEC-11,3.0,BCH05-CONMEC-07,2.0,BANDEROLEUSE ROBOPAC HS40 N° 309050087
BCH11-PARTFIX-07,2.0,B6046D0201,1.0,MOULE BOUCHON COL 48  32 EMPREINTES A UN ETAGE
B7214T0007-TRANSM-TR,3.0,B7214T0007-TRANSM,2.0,SOUFFLEUSE SBO 20 SIDEL
BCH02-CUVREM-01,2.0,B7216T0002,1.0,REMPLISSEUSE COSMOS 54/18 N° 14610
BCH03-CUVREM-01,2.0,B7216T0003,1.0,REMPLISSEUSE HEMA MRH24/24 E8 BE 7453
B7284T0029-PALPRO-EL,3.0,B7284T0029-PALPRO,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B6001T0017-UNIFER,2.0,B6001T0017,1.0,PRESSE D'INJECTION PREFORMES 03 HYPET 400
BCH01-CONMEC-05,2.0,B7284T0034,1.0,PALETTISEUR AUTOMATIQUE EMS MT 574
B7723T0001-SGE,2.0,B7723T0001,1.0,PORTIQUE SUR PNEUS RTG
B9704-BEU-CHAUDRO,1.0,,,CHAUDRONNERIE
BLS-19177,1.0,,,SEMI-REMORQUE CITERNE  / 191477
B7252T0033,1.0,,,ETIQUETEUSE FARDEAUX LOGOPACK
B4600R3000-R061,2.0,B8657T0026,1.0,CLIMATISEUR CIAT DXA36 SALLE TGBT
B3971T0037,1.0,,,Armoire Batterie Condensateur 02
BCH01-CUVREM-01,2.0,B7216T0014,1.0,MONOBLOC DE REMPLISSAGE/BOUCHAGE
B7752R0123-A001,2.0,B7752T0123,1.0,TRANSPORTEUR  BANC COUSEUR N°2
UPL-B6005T-001,2.0,SYS-IP,1.0,Système Injection  Palette
BCH04-CUVREM-01,2.0,B7216T0004,1.0,REMPLISSEUSE HEMA MRH12/16 V6 7450
B7105T0099,3.0,B6225T0003-S051,2.0,STOCKAGE PRIMAIRE MOUTARDE
B6333R0003-A001,2.0,B6533T0003,1.0,FILTRE PRESS S360
BCH02-TRANSF-03,3.0,BCH02-TRANSF-01,2.0,SOUFFLEUSE SBO10 - 710
BCH05-CUVREM-01,2.0,B7216T0005,1.0,REMPLISSEUSE MRH 36/48 V6 BE7485
B8602T0014-J01,2.0,B8602T0014,1.0,BACHE A EAU BABCOCK
B8602T0014-J05,1.0,,,COLLECTEUR DE VAPEUR BOISSONS 4BAR
B6001T0005-UNIFER,2.0,B6001T0005,1.0,PRESSE D'INJECTION PREFORMES 05 HYPET 400
B3602R0092-R001,3.0,B3623R0062-R001,2.0,BAC DE REFONTE INOX AISI 304L / 1T043
BS2-ECL,1.0,,,Eclairage batiment
B3503R0065,1.0,,,BAC MELASSE 60T1
B3668T0201,1.0,,,"Compresseur 40Bars SIAD ""B"" TEMPO 1850 KC 10656 / 10B"
B7214T0007-CIREAU-01,3.0,B7214T0007-CIREAU,2.0,SOUFFLEUSE SBO 20 SIDEL
B7214T0007-ALPREF-RC,3.0,B7214T0007-ALPREF,2.0,SOUFFLEUSE SBO 20 SIDEL
TIC-622,3.0,B6346R9999-08,2.0,REACTEUR-DECOLORATEUR-622/21
B6364T0004-ARMELE,2.0,B6364T0004,1.0,CARBONATEUR
B3513R0826-R002,3.0,B3623R0612-R002,2.0,BAC EGOUT R3 1T025
B7217T0002-S311,3.0,B7217T0002-S004,2.0,SOUTIREUSE
B4600R3000-R038,2.0,B7103T0247,1.0,BAC EN INOX AISI 304L / T939
B7214T0007-FOURIR,2.0,B7214T0007,1.0,SOUFFLEUSE SBO 20 SIDEL
B6001T0006-EXTRUD-FO,3.0,B6001T0006-EXTRUD,2.0,PRESSE D'INJECTION PREFORMES 04 HYPET 400
B7103T0070-STOCK2-PM,3.0,B7103T0070-STOCK2,2.0,STOCKAGE WT
B7284T8001-J06,2.0,B7284T8001,1.0,PALETTISEUR P432-SCARA
B7858R0005-207,2.0,B7858T0017,1.0,Silo  C7
LLK-AC-1850C-ETACOM,2.0,LLK-AC-1850C,1.0,Compresseur 40 bars TEMPO 1850 C
B6225T0001-S020,1.0,,,CUVE NEP 5X4000L(SDA)
B7222T0008-J01,1.0,,,Remplisseuse semi automatique seau SAUCES
B7284T0029-PALPRO-TA,3.0,B7284T0029-PALPRO,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7752R0124-A001,2.0,B7752T0124,1.0,TRANSPORTEUR BANC COUSEUR N°3
BEC-ALLEES-PG3-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE POSTE DE GARDIENNAGE 3
DEPARTEMENT  ENGINEE,1.0,,,Bureau Méthode département engineering
B7202T8002-J04,3.0,B7202T8002-J11,2.0,DECAISSEUSE
B7214T0010-FOURIR-MC,3.0,B7214T0010-FOURIR,2.0,SOUFFLEUSE SBO 20 SIDEL
LLK-AC-1850C-ENTRAI,2.0,LLK-AC-1850C,1.0,Compresseur 40 bars TEMPO 1850 C
B7222T8003-J07,3.0,B7222T8003-J13,2.0,ROBOT DE CONDIT - ENCAISSEUSE -
B7252T0032-S006,2.0,B7252T0032,1.0,ETIQUETEUSE
B7790T0050-COFELE,2.0,B7790T0050,1.0,QUAI DE CHARGEMENT N°03
B8713T0014,1.0,,,UNITE D OSMOS 2° PASSE
B3606R0552,1.0,,,POMPE A DOUBLE MEMBRANE PNEUMATIQUE
B7105T0131-J01,1.0,,,SKID VANNE PREPARATION
BCH01--ROSOUF-01,2.0,B7214T0014,1.0,SOUFFLEUSE SACMI SBF6XL
LLK-SP-NEP,1.0,,,NEP siroperie
B7254T0141,1.0,,,DATEUR INDUSTRIEL A JET D ENCRE
B7290T0004-EQSOMA-CR,3.0,B7290T0004-EQSOMA,2.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L2
BEC-ADM-DOP-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE BLOC ADM DOP
B7214T0010-RS-PS-12,4.0,B7214T0010-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
BCH10-CUVREM-01,2.0,B7216T0007,1.0,"DOSEUSE PONDERALE ""HEMA GW 24/8 C N°7701"
B7258T0003-DISEJE-EJ,3.0,B7258T0003-DISEJE,2.0,CONTRÔLE ETIQUETTE 944/L FT SYSTEM
B6047D0008,1.0,,,MOULE 38 GR
B6225T0005,1.0,,,APLATISSEUR POTENTIEL POUR GRAINES DE MOUTARDE
B9305T0003,1.0,,,Local électrique TGBT
B7284T0029,1.0,,,PALETTISEUR P432-SCARA (P432-20) CERMEX
B7286T0019-CBA,2.0,B7286T0019,1.0,BANDEROLEUSE AVEC COURONNE TOURNANTE GENESIS FUTURA L1
B6001T0006,1.0,,,PRESSE D'INJECTION PREFORMES 04 HYPET 400
B8716T0010,1.0,,,Adoucisseur TWIN 9500 - 2X200L -SXT- CAPTEUR INOX
B3970T0253-COMPEL,2.0,B3970T0253,1.0,Armoire de gestion climatisation CTA
B3970T0255,1.0,,,Armoire Eclairage Bureaux Techniques et Prises de Courant
B7752T0021,1.0,,,TRANSPORTEUR A BANDE         TB14
B8638T0057,1.0,,,CHILLER SOUFFLEUSE
LLK-RSI-BINT,1.0,,,BOUCLE INTERNE RESEAU ANTI-INCENDIE
B3624R0202,1.0,,,RESEAU ANTI INCENDIE
B3652T0013,1.0,,,CLIMATISEUR MCC CIAT 5000 CLIMC5B
B3652R1013-A002,2.0,B3652T0016,1.0,CLIMATISEUR MCC YORK CLIMYC
B6502T0004,1.0,,,SEPARATEUR DE NEUTRALISATION - B20S1
B7284T0027-ENTPRO-TS,3.0,B7284T0027-ENTPRO,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B9018U0101-HS001,2.0,BHS_ENS_RAI,1.0,Ensemble Réseau Anti Incident
B3503R0070,1.0,,,TRANSPORTEUR A ABNDE TB22B
B6225T0001-S310,2.0,B6225T0001-S003,1.0,CUVES TAMPON
B8654T0004-D001,2.0,BLS-FROID-D002,1.0,CLIMAT+549:4125ISEURS SALLE TGBT
B3652T0009,1.0,,,CLIMATISEUR TGBT CIAT 12000 CLIMC12A
B7638T0118,1.0,,,CHARGEUR VOLVO N°4
B7723T0001-SRC,2.0,B7723T0001,1.0,PORTIQUE SUR PNEUS RTG
B7754T0010,1.0,,,TRANSPORTEUR A CHAINE REDLER A155
B3539T-002,3.0,UPL-B8638T-001,2.0,Système Refroidissement Palette
B3970T0301,2.0,B6225T0001-S030,1.0,GROUPE ARMOIRES
B7214T0007-RS-CC,3.0,B7214T0007-RS,2.0,SOUFFLEUSE SBO 20 SIDEL
B6310R0001,2.0,B6310T0001,1.0,EMPATEUR M104
B3668T8005,1.0,,,COMPRESSEUR N°02
B8638T0039-ARMELE,2.0,B8638T0039,1.0,Refroidisseurs CTA 2/2 TRANE-FIORINI
DMC-HSTCK-SDAL-DIVER,2.0,,,HONGAR DE STOCKAGE DES INTRANTS PAKAGING
B6046D0201,1.0,,,MOULE BOUCHON COL 48  32 EMPREINTES A UN ETAGE
B7222T8003-J12,2.0,B7222T8003,1.0,ROBOT DE CONDIT - ENCAISSEUSE -
B7752T0170,1.0,,,"Convoyeur "" Soft Drop '' 02"
B3602R9000-J100,2.0,B3602R9550-J100,1.0,GROUPE MOTOPOMPE
B6010T0007,1.0,,,Presse n° 07
B7214T0007-RS-PS-19,4.0,B7214T0007-RS-PS,3.0,SOUFFLEUSE SBO 20 SIDEL
B8636T0040,1.0,,,Tour de refroidissement BALTMORE AIRCOIL
BEC-ADM-DMC-ETG2-ELC,1.0,,,INSTALLATIONS ELECTRIQUE ETAGE 2 DMC
B7214T0008-ALPREF-OD,3.0,B7214T0008-ALPREF,2.0,SOUFFLEUSE SBO 20 SIDEL
B7284T0026-ARMELE-CE,3.0,B7284T0026-ARMELE,2.0,PALETTISEUR P432-SCARA (P432-20) CERMEX
B3970T0250,1.0,,,ARMOIRE ELECTRIQUE HOMOGENEISATEUR PET
B6001T0016,1.0,,,PRESSE D'INJECTION PREFORMES 02 HYPET 400
B6220T0001-S110,3.0,B6220T0001-S007,2.0,VMC  A(SDA)
B7214T8001-J89,3.0,B7214T8001-J09,2.0,SOUFFLEUSE SBO 20 5767
BEC-ADM-R3-UTIL-ELEC,1.0,,,INSTALLATIONS ELECTRIQUE 3E ETAGE R+3
B6220T0001-S105,3.0,B6220T0001-S006,2.0,VMC  A(SDA)
B6315T0002,1.0,,,HOMOGENEISATEUR 1
B3623R0062-R001,2.0,B7103T0244,1.0,BAC DE REFONTE INOX AISI 304L / 1T043
B7286T0024,1.0,,,BANDEROLEUSE ATLANTA
B7634T0126,1.0,,,REMORQUE CONTENEUR VAN HOOL POUR SUCRE N°01
B4378R0051-U001,2.0,B8603T0100,1.0,CHAUDIERE STEIN N°01
B3602T8004-J02,3.0,B3602T8004,2.0,GROUPE ELECTROPOMPE
B6225T0001-S300,2.0,B6225T0001-S003,1.0,CUVES TAMPON
B6535R0200-U006,1.0,,,SKID FILTRES A CARTOUCHES
B7752T0108,1.0,,,TRANSPORTEUR A BANDE        TB14C
B7752T0115,1.0,,,TRANSPORTEUR A BANDE       TB22B
B3623R6001-J01,1.0,,,GROUPE MOTOPOMPE IMMERGE
B6574T0001,1.0,,,SECHEUR LINADRY
BCH05-PRESSE-01,3.0,BCH05-ASCENS-01,2.0,PALETTISEUR 5LA CERMEX P432   / N° 39109
B4688R0205-A007,1.0,,,VANNE DE REGULATION DE SIROP DE PETIT VIDE DE LA CUITE A622
B6225T0003-S105,3.0,B6225T0003-S033,2.0,BROYAGE MOUTARDE
B6225T0003-S099,2.0,B6225T0003-S007,1.0,GROUPE ACCESSOIRES
B6522T0070,1.0,,,FILTRE DE DEPOUSSIERAGE FTR2
B6522T0122,1.0,,,Filtre dépoussiérage pied tb7
B8673R0004,2.0,B6530T0019,1.0,Filtre de  depoussierage systeme Comessa F730E
B7752T0010,1.0,,,Transporteur à bande TB10
B8673R0001,2.0,B8673T0002-BS1,1.0,VENTILATEUR D'ASSAINISSEMENT P734
B3503R0073,1.0,,,MOTEUR TRANSPORTEUR A BANDE   TB14C
B7638T0025,1.0,,,CHARGEUR VOLVO N°1
B7714T0003,1.0,,,ELEVATEUR A GODET                  E2
B7714T0030,1.0,,,ELEVATEUR A  GODETS ELN3
B7752T0056,1.0,,,TRANSPORTEUR A BANDE        TBC3
B7752T0169,1.0,,,"Convoyeur "" Soft Drop '' 01"
BSL_OS_CLIENT2,1.0,,,POSTE DE SUPERVISION : OS_CLIENT2
B3623R9900-HS002,1.0,,,Pompe Thermique Incendie à eau Perdue TYPE AURORA
B6070T0001,1.0,,,Assembleuse 01 litre
B8638R9999-D001,2.0,B8637T0005,1.0,GROUPE REFRIGERANT A1600 TRANE (ancien)
LANTERNAU EL3N,1.0,,,LANTERNAU EL3N
,,,,Pompe Thermique Incendie à eau Perdue TYPE AURORA
B3679R0101-HS001,1.0,,,Ballon hydropneumatique
B7284T8001-J01,2.0,B7284T8001,1.0,PALETTISEUR P432-SCARA
B7503R-HSE,1.0,,,Moteur diesel CLARKE JOHN DEERE RE508322
B7702T0002,1.0,,,CHARIOT ELEVATEUR 3T
B8657T0040,1.0,,,Compresseur d'air N°1
B6225T0003-S003,1.0,,,BROYAGE MOUTARDE
B4600R3000-R041,2.0,B7103T0236,1.0,BAC LIQUEUR D ALIMENTATION INOX AISI 304L LSR2 / 1T005
BCH11-PCOCOM-04,2.0,B6005T0002,1.0,PRESSE INJECTION BOUCHONS N°04
B7272T0028-S005,2.0,B7272T0028,1.0,FARDELEUSE VARIOPAC PRO
B9305T0002-1,1.0,,,ATELIER
BEC-ADM-REZ_ELEC,1.0,,,INSTALLATIONS ELECTRIQUE REZ DE CHAUSEE R+2
B3970T0117,1.0,,,MCC5
B6001T0017-CIRHYD,2.0,B6001T0017,1.0,PRESSE D'INJECTION PREFORMES 03 HYPET 400
BCH10-ROSOUF-01,2.0,B7214T0001,1.0,SOUFFLEUSE SBO10 - 700
B7752T0016,1.0,,,TRANSPORTEUR A BANDE         TB1A
B7752T0057,1.0,,,TRANSPORTEUR A BANDE        TB1B
BS2_A983-3N_HMI,1.0,,,Pupitre Opérateur: Compresseur d'Air Process A983-3N
LLK-AC-MTA1-CIRFRI,2.0,LLK-AC-MTA1,1.0,Secheur  MTA
B7752T0018,1.0,,,TRANSPORTEUR A BANDE         TB2
B7858R0006-223,2.0,B7858T0033,1.0,Silo  C23
BLS-FROID-D002,1.0,,,CLIMAT+549:4125ISEURS SALLE TGBT
B7272T0016-FOURFA-CC,3.0,B7272T0016-FOURFA,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
B7752T0020,1.0,,,TRANSPORTEUR A BANDE         TB7
B7638T0119,1.0,,,CHARGEUR LONKING
B7660H4116-201,2.0,B7634T0126,1.0,REMORQUE CONTENEUR VAN HOOL POUR SUCRE N°01
B7638T0116,1.0,,,CHARGEUR VOLVO N°3
B7752T0017,1.0,,,TRANSPORTEUR A BANDE         TB1C
B7754T0004,1.0,,,TRANSPORTEUR A CHAINE       TC5A
B7867T0001,1.0,,,tremie 1
BCH06-ETACOM-25,2.0,B3668T0202,1.0,"Compresseur 40Bars SIAD ""C""  TEMPO 1850    KC 10656 / 10C"
B3604R0102-R001,3.0,B3623R0612-R001,2.0,BAC EGOUT R3 1T025
B4600R3000-R014,2.0,B7103T0242,1.0,BAC A SIROP LSR2 INOX AISI 304L / 1T039
B7214T0004,1.0,,,SOUFFLEUSE SBO4 - 403
B7252T0031,1.0,,,CONTRÔLE ETIQUETTES FT SYSTEM
BCH04-PREFRM-01,2.0,B7284T0004,1.0,PALETTISEUR CERMEX P432-10-37699
B8636T0040-SECECH,2.0,B8636T0040,1.0,Tour de refroidissement BALTMORE AIRCOIL
B6001T0015-EXTRUD-FO,3.0,B6001T0015-EXTRUD,2.0,PRESSE D'INJECTION PREFORMES 01 HYPET 400
B7858T0014,1.0,,,Silo  C4
B7752T0026,1.0,,,TRANSPORTEUR A BANDE         TB4
B6001T0015-EXTRUD-TR,3.0,B6001T0015-EXTRUD,2.0,PRESSE D'INJECTION PREFORMES 01 HYPET 400
B7274T0001-ENTRAI-EB,3.0,B7274T0001-ENTRAI,2.0,POSEUSE DE POIGNEE M.E.T.E TWIN PACKS
B7754T0003,1.0,,,TRANSPORTEUR A CHAINE       TC4
B7754T0009,1.0,,,TRANSPORTEUR A CHAINE       TC10
B3623T0034,1.0,,,GROUPE ELECTROPOMPE CENTRIFUGE P201-A
,,,,Remplisseuse semi automatique seau ASSILA
B7252T0022-STINFE-CA,3.0,B7252T0022-STINFE,2.0,ETIQUETEUSE OPERA 300 SACMI
B7752T0050,1.0,,,TRANSPORTEUR A BANDE        TB9A
B7858R0006-204,2.0,B7858T0014,1.0,Silo  C4
B7752T0025,1.0,,,TRANSPORTEUR A BANDE         TB3
BEC-MAG-BS1-FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION MAGASIN RAFFINERIE DE SUCRE 3000T
B3623R0613-R002,2.0,B7103T0243,1.0,BAC A EGOUT R2 INOX AISI 304L / 1T042
B7210T8005-J11,2.0,B7210T8005,1.0,LAVEUSE CASIERS BOUTEILLES KRONES
B6225T0001-S095,2.0,B6225T0001-S001,1.0,CUVERIE EXTERIEUR
B7214T0008-ALPREF-RC,3.0,B7214T0008-ALPREF,2.0,SOUFFLEUSE SBO 20 SIDEL
BCH02-MANENT-01,4.0,BCH02-CUVFIL-01,3.0,REMPLISSEUSE COSMOS 54/18 N° 14610
B7752T0045,1.0,,,TRANSPORTEUR A BANDE        TB8D1
B7752T0110,1.0,,,TRANSPORTEUR A BANDE        TB19B
BRH-BAT-CHAUDR,2.0,BATIMENT-RAFF HUILE,1.0,BATIMENTS RAFFINERIE D HUILE
BCH08-INSTRU-05,2.0,B7101T0046,1.0,BACS 400T    A
BCH08-INSTRU-04,2.0,B7101T0047,1.0,BACS 400T    B
BCH08-INSTRU-06,2.0,B7101T0048,1.0,BACS 400T    C
BCH08-INSTRU-07,2.0,B7101T0049,1.0,BACS 400T    D
B3604R0102-R008,3.0,B3623R0613-R002,2.0,BAC A EGOUT R2 INOX AISI 304L / 1T042
BCH01-DIVBOU-01,2.0,B7259T0025,1.0,SYSTEME DE CONVOYEURS BOUTEILLES COMBI 5L / 10 / 4L - BX
B7286T0006,1.0,,,BANDEROLEUSE ROBOPAC
B7858T0011,1.0,,,Silo  C1
B6522T0075,1.0,,,FILTRE DE DEPOUSSIERAGE  FTB14A
B7752T0027,1.0,,,TRANSPORTEUR A BANDE         TB5A
B7752T0029,1.0,,,TRANSPORTEUR A BANDE         TB6
B7752T0024,1.0,,,TRANSPORTEUR A BANDE         TB15B
B3503R0066,1.0,,,BAC MELASSE 60T2
B6220T0001-S009,2.0,B6220T0001,1.0,VMC  A(SDA)
B7858T0035,1.0,,,SILO HORIZENTAL (HANGAR)
B6047D0003,1.0,,,MOULES 86 GR
B7272T0015-ARMELE-CE,3.0,B7272T0015-ARMELE,2.0,FARDELEUSE TSM 4 SDI CERMEX-OC
B7752R0030,2.0,B7752T0006,1.0,CONVOYEUR A SUCRE HUMIDE A700
B3628R-004,3.0,UPL-B6050T-004,2.0,Système d'Alimentation Matière Palette
B3673T0012,1.0,,,COMPRESSEUR LÉGUMES SECS
B6001T0016-UNIROB-PH,3.0,B6001T0016-UNIROB,2.0,PRESSE D'INJECTION PREFORMES 02 HYPET 400
B6570T0001,1.0,,,TAMBOUR SECHEUR A702
BEC-ADM-DOP-FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION BLOC ADM DOP
BEC-MAG-CENT-FRD,1.0,,,EQUIPEMENTS FROID ET CLIMATISATION MAGASIN ABOUDAOU
BS1_S855E_S7-315,1.0,,,Automate Programmable: Turbine S855E
B6053T0004,1.0,,,SECHEUR PIOVAN
B6522T0045,1.0,,,FILTRE DE DEPOUSSIERAGE F7
DMC-DIV-UNITÉS-CHAUD,1.0,,,Travaux de chauderaunnerie UMO
B7638T0024,1.0,,,CHARGEUR VOLVO N°2
B6225T0001-S021,1.0,,,GROUPE POMPE CIP
B7214T0007-DEPOUS-RT,3.0,B7214T0007-DEPOUS,2.0,SOUFFLEUSE SBO 20 SIDEL
B7752T0051,1.0,,,TRANSPORTEUR A BANDE        TB9B
B7752T0107,1.0,,,TRANSPORTEUR A BANDE        TB14B
B7752T0109,1.0,,,TRANSPORTEUR A BANDE        TB19A
B9719T3000-B001,1.0,,,ELECTRICITE
B7214T0007-ARMELE,2.0,B7214T0007,1.0,SOUFFLEUSE SBO 20 SIDEL
